2014-01-08 13:38:58,283: (0.174) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 't4qooy4rlc4zsb5100zdy68ubcp8tpc4'  AND `django_session`.`expire_date` > '2014-01-08 12:38:58' ); args=('t4qooy4rlc4zsb5100zdy68ubcp8tpc4', u'2014-01-08 12:38:58')
2014-01-08 13:42:04,475: (0.162) SAVEPOINT `s140175932782336_x1`; args=None
2014-01-08 13:42:04,654: (0.178) SELECT `ffos_ffosapp`.`id`, `ffos_ffosapp`.`app_type`, `ffos_ffosapp`.`author`, `ffos_ffosapp`.`content_ratings`, `ffos_ffosapp`.`created`, `ffos_ffosapp`.`current_version`, `ffos_ffosapp`.`default_locale`, `ffos_ffosapp`.`description`, `ffos_ffosapp`.`homepage`, `ffos_ffosapp`.`icon_id`, `ffos_ffosapp`.`external_id`, `ffos_ffosapp`.`is_packaged`, `ffos_ffosapp`.`manifest_url`, `ffos_ffosapp`.`name`, `ffos_ffosapp`.`payment_account`, `ffos_ffosapp`.`payment_required`, `ffos_ffosapp`.`price_locale`, `ffos_ffosapp`.`price`, `ffos_ffosapp`.`premium_type`, `ffos_ffosapp`.`privacy_policy`, `ffos_ffosapp`.`public_stats`, `ffos_ffosapp`.`rating_average`, `ffos_ffosapp`.`rating_count`, `ffos_ffosapp`.`resource_uri`, `ffos_ffosapp`.`slug`, `ffos_ffosapp`.`status`, `ffos_ffosapp`.`support_email`, `ffos_ffosapp`.`support_url`, `ffos_ffosapp`.`tags`, `ffos_ffosapp`.`upsell`, `ffos_ffosapp`.`upsold`, `ffos_ffosapp`.`weekly_downloads` FROM `ffos_ffosapp` WHERE `ffos_ffosapp`.`id` = 2482 ; args=(2482,)
2014-01-08 13:42:04,839: (0.172) SELECT `ffos_ffosappcategory`.`id` FROM `ffos_ffosappcategory` INNER JOIN `ffos_ffosapp_categories` ON ( `ffos_ffosappcategory`.`id` = `ffos_ffosapp_categories`.`ffosappcategory_id` ) WHERE `ffos_ffosapp_categories`.`ffosapp_id` = 2482 ; args=(2482,)
2014-01-08 13:42:05,005: (0.164) SELECT `ffos_devicetype`.`id` FROM `ffos_devicetype` INNER JOIN `ffos_ffosapp_device_types` ON ( `ffos_devicetype`.`id` = `ffos_ffosapp_device_types`.`devicetype_id` ) WHERE `ffos_ffosapp_device_types`.`ffosapp_id` = 2482 ; args=(2482,)
2014-01-08 13:42:05,171: (0.164) SELECT `ffos_region`.`id` FROM `ffos_region` INNER JOIN `ffos_ffosapp_regions` ON ( `ffos_region`.`id` = `ffos_ffosapp_regions`.`region_id` ) WHERE `ffos_ffosapp_regions`.`ffosapp_id` = 2482 ; args=(2482,)
2014-01-08 13:42:05,337: (0.166) SELECT `ffos_locale`.`id` FROM `ffos_locale` INNER JOIN `ffos_ffosapp_supported_locales` ON ( `ffos_locale`.`id` = `ffos_ffosapp_supported_locales`.`locale_id` ) WHERE `ffos_ffosapp_supported_locales`.`ffosapp_id` = 2482 ; args=(2482,)
2014-01-08 13:42:05,504: (0.165) SELECT `ffos_preview`.`id` FROM `ffos_preview` INNER JOIN `ffos_ffosapp_previews` ON ( `ffos_preview`.`id` = `ffos_ffosapp_previews`.`preview_id` ) WHERE `ffos_ffosapp_previews`.`ffosapp_id` = 2482 ; args=(2482,)
2014-01-08 13:42:05,678: (0.167) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'ffosapp'  AND `django_content_type`.`app_label` = 'ffos' ); args=('ffosapp', u'ffos')
2014-01-08 13:42:05,849: (0.170) RELEASE SAVEPOINT `s140175932782336_x1`; args=None
2014-01-08 13:42:06,089: (0.189) SELECT `ffos_ffosappcategory`.`id`, `ffos_ffosappcategory`.`name` FROM `ffos_ffosappcategory`; args=()
2014-01-08 13:42:06,265: (0.170) SELECT `ffos_devicetype`.`id`, `ffos_devicetype`.`name` FROM `ffos_devicetype`; args=()
2014-01-08 13:42:09,054: (2.784) SELECT `ffos_ffosappicon`.`id`, `ffos_ffosappicon`.`size16`, `ffos_ffosappicon`.`size48`, `ffos_ffosappicon`.`size64`, `ffos_ffosappicon`.`size128` FROM `ffos_ffosappicon`; args=()
2014-01-08 13:42:09,375: (0.165) SELECT `ffos_region`.`id`, `ffos_region`.`adolescent`, `ffos_region`.`mcc`, `ffos_region`.`name`, `ffos_region`.`slug` FROM `ffos_region`; args=()
2014-01-08 13:42:09,549: (0.167) SELECT `ffos_locale`.`id`, `ffos_locale`.`name` FROM `ffos_locale`; args=()
2014-01-08 13:42:11,453: (1.899) SELECT `ffos_preview`.`id`, `ffos_preview`.`filetype`, `ffos_preview`.`thumbnail_url`, `ffos_preview`.`image_url`, `ffos_preview`.`external_id`, `ffos_preview`.`resource_uri` FROM `ffos_preview`; args=()
2014-01-08 13:42:13,839: (0.223) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 't4qooy4rlc4zsb5100zdy68ubcp8tpc4'  AND `django_session`.`expire_date` > '2014-01-08 12:42:13' ); args=('t4qooy4rlc4zsb5100zdy68ubcp8tpc4', u'2014-01-08 12:42:13')
2014-01-08 13:42:14,030: (0.189) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
